Ingredient code,Ingredient description,ingredient_clean,taxon_clean,Similarity,Level.code,taxon.food.description
28330,"Cookies, marshmallow, with rice cereal and chocolate chips",chip rice cereal marshmallow cooky chocolate,cereal marshmallow cookie rice,0.8,53226,Cookie marshmallow with rice cereal
28332,"Cookies, gluten-free, chocolate sandwich, with creme filling",sandwich filling free creme cooky gluten chocolate,sandwich chocolate cookie vanilla,0.602,53238,Cookie sandwich not chocolate or vanilla
28337,"Bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca",andor corn rice tapioca free bread white made flour gluten starch,gluten bread low,0.475,51808,Bread low gluten
28341,"Rolls, gluten-free, white, made with rice flour, rice starch, and corn starch",corn rice free white roll made flour gluten starch,flour corn,0.504,52207,Corn flour
28345,"Crackers, gluten-free, multi-seeded and multigrain",multi cracker free multigrain seeded gluten,multigrain cracker,0.777,54326,Crackers multigrain
28346,"Waffles, gluten-free, frozen, ready-to-heat",heat free frozen ready waffle gluten,waffle,0.561,552,Waffles
28347,"Pancakes, gluten-free, frozen, ready-to-heat",heat free frozen ready gluten pancake,gluten bread low,0.542,51808,Bread low gluten
28348,"Rolls, dinner, sweet",dinner roll sweet,roll sweet,0.772,51160,Roll sweet
28349,"Cookies, oatmeal, reduced fat",cooky reduced fat oatmeal,oatmeal,0.665,56203,Oatmeal
28350,"Cookies, chocolate cream covered biscuit sticks",chocolate stick covered cream cooky biscuit,pie chocolate cream,0.565,53342,Pie chocolate cream
28351,"Cookies, Marie biscuit",cooky biscuit marie,biscuit,0.749,521,Biscuits
28352,"Cookies, vanilla sandwich with creme filling, reduced fat",sandwich filling reduced creme fat cooky vanilla,vanilla sandwich cookie,0.674,53243,Cookie vanilla sandwich
28397,"Bread, multi-grain (includes whole-grain)",multi whole bread includes grain,bread multigrain,0.61,5160,Bread multigrain
28399,"Cookies, animal crackers (includes arrowroot, tea biscuits)",tea arrowroot cracker animal includes cooky biscuit,water biscuit cracker,0.528,54336,Crackers water biscuits
