Ingredient code,Ingredient description,ingredient_clean,taxon.food.description,taxon_clean,Similarity,Level.code,match,correct_code
11323,"Peas and carrots, frozen, cooked, boiled, drained, without salt",boiled drained pea carrot without salt cooked frozen,Carrots cooked,cooked carrot,0.595,73102,n,75315
11327,"Peas and onions, frozen, cooked, boiled, drained, without salt",boiled drained onion pea without salt cooked frozen,Onions,onion,0.453,75415,n,75315
11333,"Peppers, sweet, green, raw",sweet pepper green raw,Green peppers and onions,pepper green onion,0.703,75307,n,75111
11334,"Peppers, sweet, green, cooked, boiled, drained, without salt",boiled drained without sweet pepper salt cooked green,Green peppers and onions,pepper green onion,0.522,75307,n,75111
11345,"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",boiled drained pigeonpeas seed immature without salt cooked,Pigeon peas,pigeon pea,0.497,75225,n,4133
11349,Poi,poi,Poi or taro,poi taro,0.742,7198,,
11351,"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",boiled drained pokeberry shoot without salt cooked poke,Poke greens,green poke,0.454,72123,,
11352,"Potatoes, flesh and skin, raw",potato flesh skin raw,White potato skins with adhering flesh fried,flesh skin white adhering potato fried,0.638,7141,n,710
11363,"Potatoes, baked, flesh, without salt",flesh without baked salt potato,White potatoes baked,potato baked white,0.597,71101,,
11364,"Potatoes, baked, skin, without salt",skin without baked salt potato,White potato skins fried with or without cheese,skin white without potato fried cheese,0.674,71410,n,71101
11365,"Potatoes, boiled, cooked in skin, flesh, without salt",boiled cooked flesh skin without salt potato,White potato skins fried with or without cheese,skin white without potato fried cheese,0.616,71410,n,71103
11367,"Potatoes, boiled, cooked without skin, flesh, without salt",boiled cooked flesh skin without salt potato,White potato skins fried with or without cheese,skin white without potato fried cheese,0.616,71410,n,71103
11371,"Potatoes, mashed, home-prepared, whole milk and margarine added",added prepared mashed milk margarine potato home whole,White potato mashed,potato mashed white,0.535,71501,,
11378,"Potatoes, mashed, dehydrated, flakes without milk, dry form",dehydrated without milk mashed dry potato flake,Pork NFS ground dehydrated,ground pork dehydrated,0.565,220,n,71502
11379,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",from flake without added prepared mashed milk butter potato dehydrated whole,Pork NFS ground dehydrated,ground pork dehydrated,0.503,220,n,71502
11391,"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",plain canola pan oil prepared fried potato hash brown frozen,White potato hash brown,potato hash brown white,0.56,71405,,
11398,"Potato puffs, frozen, unprepared",potato puff unprepared frozen,White potato puffs,potato puff white,0.571,71204,,
11403,"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",heated all type added french prepared salt processing oven potato fried home frozen,White potato french fries with cheese or meat,meat white french fry potato cheese,0.496,71402,n,71401
11413,Potato flour,potato flour,Potato soups,potato soup,0.613,718,n,7100
11417,"Pumpkin flowers, cooked, boiled, drained, without salt",boiled drained flower without salt cooked pumpkin,Pumpkin cooked,cooked pumpkin,0.642,73201,n,73202
11422,"Pumpkin, raw",raw pumpkin,Pumpkin,pumpkin,0.948,43101,n,7320
11423,"Pumpkin, cooked, boiled, drained, without salt",boiled drained without salt cooked pumpkin,Pumpkin cooked,cooked pumpkin,0.704,73201,,
11424,"Pumpkin, canned, without salt",without salt canned pumpkin,Pumpkin,pumpkin,0.717,43101,n,7320
11429,"Radishes, raw",raw radish,Radish,radish,0.919,75227,,
11431,"Radishes, oriental, cooked, boiled, drained, without salt",boiled drained radish without salt oriental cooked,Plantain fried or boiled,boiled fried plantain,0.464,7190,n,75227
11435,"Rutabagas, raw",raw rutabaga,Rutabaga,rutabaga,0.954,75228,,
11436,"Rutabagas, cooked, boiled, drained, without salt",boiled drained rutabaga without salt cooked,Rutabaga,rutabaga,0.633,75228,,
11438,"Salsify, cooked, boiled, drained, without salt",boiled drained salsify without salt cooked,Salsify,salsify,0.673,75229,,
11439,"Sauerkraut, canned, solids and liquids",liquid solid canned sauerkraut,Sauerkraut,sauerkraut,0.751,75230,,
11442,"Seaweed, agar, raw",seaweed agar raw,Seaweed,seaweed,0.802,75232,,
11444,"Seaweed, irishmoss, raw",seaweed irishmoss raw,Seaweed,seaweed,0.583,75232,,
11445,"Seaweed, kelp, raw",seaweed raw kelp,Seaweed,seaweed,0.751,75232,,
11446,"Seaweed, laver, raw",seaweed laver raw,Seaweed,seaweed,0.802,75232,,
11453,"Soybeans, mature seeds, sprouted, cooked, steamed",steamed seed sprouted soybean mature cooked,Soybean meal,meal soybean,0.522,41422,n,41107
11457,"Spinach, raw",raw spinach,Spinach,spinach,0.921,72125,,
11458,"Spinach, cooked, boiled, drained, without salt",boiled drained without salt spinach cooked,Noodles cooked spinach,cooked noodle spinach,0.564,56114,n,72125
11461,"Spinach, canned, regular pack, drained solids",drained pack canned spinach solid regular,Spinach,spinach,0.54,72125,,
11463,"Spinach, frozen, chopped or leaf, unprepared",unprepared leaf spinach chopped frozen,Spinach,spinach,0.493,72125,,
11464,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",boiled drained without leaf salt spinach cooked chopped frozen,Noodles cooked spinach,cooked noodle spinach,0.491,56114,n,72125
11468,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",boiled drained cooked crookneck straightneck without squash salt summer,Chicken neck or ribs,rib neck chicken,0.365,2418,n,73310
11471,"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",drained crookneck straightneck without canned squash salt summer solid,Chicken neck or ribs,rib neck chicken,0.36,2418,n,73310
11474,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",boiled drained cooked crookneck straightneck without squash salt summer frozen,Chicken neck or ribs,rib neck chicken,0.364,2418,n,73310
11477,"Squash, summer, zucchini, includes skin, raw",zucchini skin raw includes squash summer,Zucchini with milk,zucchini milk,0.551,75612,n,73311
11478,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",boiled drained cooked zucchini skin without includes squash salt summer,Zucchini with milk,zucchini milk,0.485,75612,n,73311
11480,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",boiled drained cooked zucchini skin without includes squash salt summer frozen,Zucchini with milk,zucchini milk,0.478,75612,n,73311
